x1,y1,x2,y2,x1
2646,454,2057,237,2646
2300,650,1802,470,2300
1948,848,1545,703,1948
1602,1046,1278,942,1602
1428,1032,1001,1193,1428
1074,1228,717,1441,1074
720,1428,432,1700,720
3025,529,2372,523,3025
2671,729,2121,756,2671
2322,927,1864,993,2322
1961,1119,1595,1236,1961
1606,1318,1321,1488,1606
1250,1522,1043,1744,1250
904,1726,772,2011,904
3225,817,2688,805,3225
2871,1017,2442,1045,2871
2515,1218,2185,1287,2515
2159,1417,1927,1536,2159
1805,1622,1660,1791,1805
1448,1825,1389,2052,1448
1090,2029,1110,2322,1090
3428,1106,3002,1091,3428
3075,1310,2759,1331,3075
2717,1514,2507,1580,2717
2358,1716,2252,1833,2358
1999,1922,1988,2092,1999
1636,2127,1722,2360,1636
1277,2334,1446,2633,1277
3641,1407,3320,1378,3641
3283,1612,3078,1624,3283
2923,1818,2836,1875,2923
2561,2025,2581,2131,2561
2099,2233,2322,2392,2099
1832,2437,2051,2660,1832
1469,2651,1785,2942,1469
3853,1709,3633,1663,3853
3492,1917,3397,1943,3492
3129,2124,3152,2167,3129
2769,2326,2905,2419,2769
2404,2538,2648,2687,2404
2035,2758,2390,2972,2035
1662,2970,-,-,1662
4072,2020,3953,1948,4072
3710,2229,3718,2203,3710
3342,2441,3480,2461,3342
2977,2653,3237,2728,2977
2597,2871,2978,3006,2597
-,-,2728,3279,-
1863,3298,-,-,1863
